sample_id,soil_type,mean_speed,std_speed,mean_accel_x,std_accel_x,mean_accel_y,std_accel_y,mean_accel_z,std_accel_z,mean_gyro_x,std_gyro_x,mean_gyro_y,std_gyro_y,mean_gyro_z,std_gyro_z,speed_drop,rms_accel_z,cluster_label
46,gravel,2.7348359375000015,0.01533909489458353,-0.8139163348674143,1.8174140077543735,-2.2533926675330784,2.28122173067754,9.5235730328056,3.4779404191532475,5.597370467265624,6.970139077349974,3.637576211640625,13.662187281126867,0.5230564776562496,24.477949586104113,-0.02799999999999958,10.134101456317222,0
47,gravel,2.6775703125,0.100211090872018,-0.6437783802697962,1.4002696791700884,-1.6777368126036705,1.5448140323141666,9.263353278864127,2.079430250740498,-5.21674917921875,16.04078786226773,-0.8893863653125001,7.781318420531503,-8.10022865234375,16.511418196071656,0.2330000000000001,9.492100012697522,1
48,gravel,2.618218750000001,0.12141611520509175,-0.5342062444263754,1.446140840183314,-1.7912743426061537,2.0770507410383776,9.957372471311317,2.8754991171804787,2.065072410234375,10.769911025052346,1.6063262373437501,8.943851757468803,15.212938265703125,23.238762591871208,-0.24200000000000044,10.361137200461917,1
49,gravel,2.935664062500001,0.12333433706120416,-0.08746318094519498,1.7366322043601734,-2.1197662986379324,2.150395392649382,9.67526817623748,2.9404802206191825,3.7738185846093746,5.049693073551254,-3.5194360278906247,7.617165509200164,-0.1781630951562494,18.14206219336479,-0.27099999999999946,10.108891532855125,1
50,gravel,3.0140000000000007,8.91668328702847e-16,-0.7808838348142804,1.3014655299359428,-1.860930651155599,1.560251091489441,9.192462453261143,1.6464130112553645,-6.2947789644531245,9.3619285018186,-0.7883955621875001,7.2975429018127125,1.715891783359375,21.672313801621485,0.0,9.337604864392741,1
51,gravel,2.868453124999999,0.17105075267346073,-0.32164603266031355,1.4647064732812027,-1.9243021746814954,2.129089791220575,9.822062649819848,2.8620591971806837,4.257336146171875,8.779468939739237,-2.016006078515625,6.807296292798085,-0.17339936062500008,9.383627262449235,0.34499999999999975,10.22742892259102,1
52,gravel,2.8278125000000007,0.11539168149169295,-0.6261211385671828,1.751966231916797,-2.164021628852482,2.454790037045633,9.570671503774175,3.911385666338036,3.3731897696093744,9.091854617203081,-2.957793478203125,11.192972272150755,-3.326029041171875,29.96945255923766,-0.242,10.333303823665801,5
53,gravel,2.782828125,0.08514333531881753,-0.39526773476739774,1.8222943254265647,-2.420051559588278,1.8488262154709,9.346551774296241,2.647219587336496,-1.6768292761718748,8.06619157468,-1.421017510078125,9.818075226823618,-0.3553735095312499,24.96803031653094,0.32600000000000007,9.711387820388703,1
54,gravel,2.509359375,0.09969004992048908,-0.8565256400403763,2.400863343484881,-1.8758195857424576,1.8340468402282875,9.61459015836714,2.320535547001868,-2.228944352421875,7.039352155317331,2.119378839296875,9.26549603982439,5.8398437325781245,23.622470452722425,0.20599999999999996,9.888536783693025,1
55,gravel,2.469234374999999,0.07372501411795665,-0.6239888084596901,1.5413260629519943,-2.3657331065964096,2.0901019854149054,9.557840093023223,2.773606407746829,1.103277429140625,4.501479796776103,-0.132907787578125,4.846936250563743,9.593654674296875,22.469177795320356,-0.1499999999999999,9.949125540779972,1
56,gravel,2.5928515625000004,0.03108942900673107,0.028094458347594317,1.8120782634558936,-2.364947512911625,2.2052276849113044,9.764751501593048,2.973583271300731,4.463128784375,5.208612211571546,-2.5647864914062506,13.299265805083982,5.199599778125001,37.95472999459823,-0.121,10.204091811203886,5
57,gravel,2.62384375,0.041977954000251644,-0.23321020553620916,1.6414505252904745,-2.587196769890898,1.690317918353064,8.867449568701199,2.33908066239258,-2.975419181015625,10.181454273060131,-8.72522865453125,14.92190441392892,6.389100659375001,31.93443081210672,0.09299999999999997,9.168435836080018,5
58,gravel,2.2826874999999993,0.26691476565747396,-1.2498106802507738,2.053673540645011,-1.6717887063122525,3.4817185315595442,9.627197108000663,1.8979459746256042,0.5645007268750002,12.356850187550863,4.6003238800781245,8.482530011633848,-5.810308679765625,27.326820803818503,0.532,9.8110642083217,1
59,gravel,2.225390625000001,0.11857023795514691,-0.10863690316432459,1.8376943747826098,-1.9731214380814086,1.4659060055607744,9.509020836384535,1.7929949314560614,1.2076028915625,3.707802000376221,-4.123475621171876,15.070509928702107,-4.419778939765625,27.393032714710223,-0.27,9.675287707619248,5
60,gravel,2.5789687500000005,0.08400880507844785,-0.7903484130299037,2.2512091524748863,-1.8362404390959743,1.7181355806984602,9.784541047013306,1.9276696369093391,6.28906251140625,8.040635149851381,0.9894245138281248,16.84205668323502,5.008098449765626,34.03454376003696,-0.15900000000000025,9.971164584996371,0
61,gravel,2.3831250000000006,0.08329427956272883,-0.7466168262501227,1.4893526201275802,-1.823932748860578,1.7644150496484818,9.223848930785644,2.401630558183263,-7.010765981093751,9.178700415358954,2.2808688885937505,6.947960756390309,-4.934260718359376,20.746894350872072,0.16800000000000015,9.529016595076955,1
